date,Median time taken (hours) from index symptoms to contacts being traced,Median time taken (hours) to receive test results for tests conducted by regional test sites,Median time taken (hours) to receive test results for tests conducted by local test sites,Median time taken (hours) to receive test results for tests conducted by mobile testing units,Median time taken (hours) to receive test results for tests conducted by satellite test centres,Median time taken (hours) to receive test results for tests conducted by home testing kits
2020-05-28,141,29,30,31,45,67
2020-06-04,122,28,30,31,33,69
2020-06-11,123,27,26,31,32,53
2020-06-18,125,20,25,20,27,50
2020-06-25,120,16,20,16,29,44
2020-07-02,121,15,21,14,42,39
2020-07-09,103,20,25,18,43,42
2020-07-16,117,18,24,17,51,40
2020-07-23,103,18,24,17,50,40
2020-07-30,120,20,27,18,67,51
2020-08-06,120,22,26,20,76,57
2020-08-13,122,26,28,24,65,75
2020-08-20,124,23,26,21,77,86
2020-08-27,116,22,25,20,92,80
2020-09-03,103,28,36,27,103,84
2020-09-10,126,31,35,32,90,76
2020-09-17,124,26,30,27,69,57
2020-09-24,140,30,32,28,61,61
2020-10-01,142,29,30,27,64,78
2020-10-08,141,46,49,42,60,79
2020-10-15,126,39,40,33,53,63
2020-10-22,121,31,33,29,45,56
2020-10-29,105,27,29,25,48,45
2020-11-05,104,27,29,25,46,51
2020-11-12,117,24,27,22,44,44
2020-11-19,99,23,24,22,41,38
2020-11-26,93,21,24,18,41,38
2020-12-03,80,21,24,20,44,40
2020-12-10,93,28,33,24,49,54
2020-12-17,103,38,42,32,69,74
2020-12-24,118,29,29,30,54,61
2020-12-31,121,29,31,28,55,68
2021-01-07,102,23,25,22,43,51
2021-01-14,93,20,22,19,38,41
2021-01-21,92,18,20,17,37,35
2021-01-28,78,17,19,17,34,34
2021-02-04,78,17,19,17,34,35
2021-02-11,77,15,18,17,32,33
2021-02-18,79,16,19,18,33,37
2021-02-25,79,16,18,17,31,37
2021-03-04,77,17,18,17,30,36
2021-03-11,75,17,19,17,31,36
2021-03-18,76,18,20,17,31,34
2021-03-25,79,17,18,16,32,34
2021-04-01,94,16,18,15,32,36
2021-04-08,96,17,18,16,32,38
2021-04-15,97,17,18,17,32,41
2021-04-22,94,17,18,16,32,39
2021-04-29,77,17,18,16,32,37
2021-05-06,77,17,19,16,32,36
2021-05-13,76,17,17,17,29,35
2021-05-20,75,16,18,16,30,33
2021-05-27,72,16,18,16,30,36
2021-06-03,75,17,18,18,31,37
2021-06-10,77,18,19,18,33,39
2021-06-17,73,19,19,18,37,41
2021-06-24,73,19,21,19,38,44
2021-07-01,75,21,23,21,49,57
2021-07-08,76,22,22,21,54,46
2021-07-15,78,22,22,21,52,46
2021-07-22,79,18,19,18,35,33
2021-07-29,75,17,19,17,33,32
2021-08-05,76,18,19,17,35,35
2021-08-12,76,18,19,18,34,35
2021-08-19,79,19,19,18,33,37
2021-08-26,78,19,19,18,34,41
2021-09-02,79,19,20,19,38,43
2021-09-09,76,18,19,18,34,39
2021-09-16,74,20,20,19,39,45
2021-09-23,77,20,21,20,42,49
2021-09-30,78,19,20,19,38,39
2021-10-07,75,19,20,19,38,41
2021-10-14,77,22,21,21,38,42
2021-10-21,79,20,20,20,34,35
2021-10-28,79,18,18,18,32,33
2021-11-04,92,18,20,19,33,37
2021-11-11,77,20,21,20,40,50
2021-11-18,80,20,21,19,38,48
2021-11-25,79,21,21,20,41,43
2021-12-02,79,22,23,21,36,44
2021-12-09,77,22,23,21,40,51
2021-12-16,94,25,26,24,53,59
2021-12-23,95,26,28,26,74,59
2021-12-30,95,24,25,23,64,69
2022-01-06,93,21,22,20,38,48
2022-01-13,46,17,18,16,27,32
2022-01-20,45,15,16,14,27,30
2022-01-27,47,15,16,14,26,30
